Time,Trigger,Signal
sec,V,V
0.0,0.0,0.0
1.9999999999999998e-10,0.0,0.0
3.9999999999999996e-10,0.0,0.0
6e-10,0.0,0.0
7.999999999999999e-10,0.0,0.0
9.999999999999999e-10,0.0,0.0
1.2e-09,0.0,0.0
1.4e-09,0.0,0.0
1.5999999999999999e-09,0.0,0.0
1.7999999999999998e-09,0.0,0.0
1.9999999999999997e-09,0.0,0.0
2.2e-09,0.0,0.0
2.4e-09,0.0,0.0
2.5999999999999997e-09,0.0,0.0
2.8e-09,0.0,0.0
2.9999999999999996e-09,0.0,0.0
3.1999999999999997e-09,0.0,0.0
3.4e-09,0.0,0.0
3.5999999999999996e-09,0.0,0.0
3.799999999999999e-09,0.0,0.0
3.9999999999999994e-09,0.0,0.0
4.1999999999999996e-09,0.0,0.0
4.4e-09,0.0,0.0
4.6e-09,0.0,0.0
4.8e-09,0.0,0.0
4.999999999999999e-09,0.0,0.0
5.1999999999999994e-09,0.0,0.0
5.3999999999999996e-09,0.0,0.0
5.6e-09,0.0,0.0
5.8e-09,0.0,0.0
5.999999999999999e-09,0.0,0.0
6.199999999999999e-09,0.0,0.0
6.399999999999999e-09,0.0,0.0
6.5999999999999995e-09,0.0,0.0
6.8e-09,0.0,0.0
6.999999999999999e-09,0.0,0.0
7.199999999999999e-09,0.0,0.0
7.399999999999999e-09,0.0,0.0
7.599999999999999e-09,0.0,0.0
7.799999999999999e-09,0.0,0.0
7.999999999999999e-09,0.0,0.0
8.199999999999999e-09,0.0,0.0
8.399999999999999e-09,0.0,0.0
8.6e-09,0.0,0.0
8.8e-09,0.0,0.0
9e-09,0.0,0.0
9.2e-09,0.0,0.0
9.4e-09,0.0,0.0
9.6e-09,0.0,0.0
9.799999999999998e-09,0.0,0.0
9.999999999999999e-09,0.0,0.0
1.0199999999999999e-08,0.0,0.0
1.0399999999999999e-08,0.0,0.0
1.0599999999999999e-08,0.0,0.0
1.0799999999999999e-08,0.0,0.0
1.1e-08,0.0,0.0
1.12e-08,0.0,0.0
1.14e-08,0.0,0.0
1.16e-08,0.0,0.0
1.1799999999999998e-08,0.0,0.0
1.1999999999999998e-08,0.0,0.0
1.2199999999999998e-08,0.0,0.0
1.2399999999999999e-08,0.0,0.0
1.2599999999999999e-08,0.0,0.0
1.2799999999999999e-08,0.0,0.0
1.2999999999999999e-08,0.0,0.0
1.3199999999999999e-08,0.0,0.0
1.34e-08,0.0,0.0
1.36e-08,0.0,0.0
1.38e-08,0.0,0.0
1.3999999999999998e-08,0.0,0.0
1.4199999999999998e-08,0.0,0.0
1.4399999999999998e-08,0.0,0.0
1.4599999999999998e-08,0.0,0.0
1.4799999999999999e-08,0.0,0.0
1.5e-08,0.0,0.0
1.5199999999999997e-08,0.0,0.0
1.54e-08,0.0,0.0
1.5599999999999997e-08,0.0,0.0
1.58e-08,0.0,0.0
1.5999999999999998e-08,0.0,0.0
1.62e-08,0.0,0.0
1.6399999999999998e-08,0.0,0.0
1.66e-08,0.0,0.0
1.6799999999999998e-08,0.0,0.0
1.7e-08,0.0,0.0
